title,director,cast,country,date_added,release_year,listed_in,description,platform
brother bear,"['aaron blaise', ' robert walker']","['joaquin phoenix', ' jeremy suarez', ' jason raize', ' rick moranis', ' dave thomas', ' d.b. sweeney']",['united states'],"november 12, 2019",2003,"['action-adventure', ' animation', ' family']",a boy transformed into a bear makes an epic journey to become human again.,disney_plus
brother bear 2,['benjamin gluck'],"['patrick dempsey', ' mandy moore', ' jeremy suarez', ' rick moranis', ' dave thomas', ' andrea martin']",['united states'],"november 12, 2019",2006,"['action-adventure', ' animation', ' family']",bear kenai is haunted by dreams of his previous life as a human child.,disney_plus
buffalo dreams,['david jackson'],"['reiley mcclendon', ' simon baker', ' graham greene', ' tessa vonn', ' max van ville', ' chris hunter']",['united states'],"november 12, 2019",2005,"['buddy', ' coming of age', ' drama']",two teenagers are sent on a vision quest by a navajo elder.,disney_plus
bug juice,[],[],['united states'],"november 12, 2019",2017,"['coming of age', ' docuseries', ' family']",camp waziyatah opens its doors for a fun summer.,disney_plus
burn,['angus maclane'],"['angus maclane', ' tessa swigart']",['united states'],"november 12, 2019",2008,"['animation', ' comedy', ' family']",burn-e the welding bot is locked out of the star liner.,disney_plus
cadet kelly,['larry shaw'],"['hilary duff', ' christy romano', ' shawn ashmore', ' aimee garcia', ' linda kash', ' nigel hamer']","['united states', ' canada']","november 12, 2019",2002,"['comedy', ' coming of age']",an artsy teen goes from fab to drab after enrolling in a military academy.,disney_plus
camp nowhere,['jonathan prince'],"['christopher lloyd', ' jonathan jackson', ' wendy makkena', ' tom wilson', ' andrew keegan', ' marne patterson']",['united states'],"november 12, 2019",1994,"['comedy', ' coming of age', ' family']",an actor and some teenagers create the summer camp of their dreams.,disney_plus
camp rock,['matthew diamond'],"['demi lovato', ' joe jonas', ' meaghan martin', ' maria canals-barrera', ' alyson stoner', ' julie brown']",['united states'],"november 12, 2019",2008,"['coming of age', ' music', ' musical']",mitchie gets the chance to spend a summer at a prestigious music camp.,disney_plus
camp rock 2,['paul hoen'],"['demi lovato', ' joe jonas', ' nick jonas', ' kevin jonas', ' daniel fathers', ' daniel kash']",['united states'],"november 12, 2019",2010,"['coming of age', ' music', ' musical']","to save camp rock, mitchie challenges camp star to a final jam.",disney_plus
can of worms,['paul schneider'],"['michael shulman', ' erika christensen', ' adam wylie', ' andrew ducote', ' lee garlington', ' brighton hertford']","['united states', ' canada']","november 12, 2019",1999,"['comedy', ' coming of age', ' science fiction']",aliens invade when a teen asks for intergalactic help to escape earth.,disney_plus
candleshoe,['norman tokar'],"['david niven', ' helen hayes', ' jodie foster', ' leo mckern', ' vivian pickles', ' veronica quilligan']","['united kingdom', ' united states']","november 12, 2019",1978,"['comedy', ' coming of age', ' crime']",a tomboy cons a nobleman to find a treasure trove of spanish doubloons.,disney_plus
canine caddy,['clyde geronimi'],[],['united states'],"november 12, 2019",1941,"['animation', ' comedy', ' family']",pluto caddies for mickey on the golf course. see details for advisory.,disney_plus
cars,['john lasseter'],"['owen wilson', ' paul newman', ' bonnie hunt', ' larry the cable guy ', ' cheech marin', ' tony shalhoub']",['united states'],"november 12, 2019",2006,"['animation', ' comedy', ' family']",race car lightning mcqueen gets stranded in a small town on route 66.,disney_plus
cars 2,['john lasseter'],"['owen wilson', ' larry the cable guy ', ' michael caine', ' emily mortimer', ' john turturro', ' eddie izzard']",['united states'],"november 12, 2019",2011,"['animation', ' comedy', ' family']",lightning mcqueen and mater go overseas to compete in the world grand prix.,disney_plus
cars 3,['brian fee'],"['owen wilson', ' cristela alonzo', ' chris cooper', ' nathan fillion', ' larry the cable guy ', ' armie hammer']",['united states'],"november 12, 2019",2017,"['animation', ' comedy', ' family']",lightning mcqueen must face a new generation of racers.,disney_plus
cars toon,['rob gibbs'],"['larry the cable guy ', ' keith ferguson', ' stacey keach', ' jonathan adams', ' jan rabson', ' lori alan']",['united states'],"november 12, 2019",2011,"['animation', ' comedy', ' family']",mater’s decision to fly lands him at a big airshow.,disney_plus
cars toon,['john lasseter'],"['larry the cable guy ', ' keith ferguson']",['united states'],"november 12, 2019",2010,"['animation', ' comedy', ' family']",mater is a rock star in a heavy metal band.,disney_plus
cars toon,['jeremy lasky'],"['keith ferguson', ' larry the cable guy ', ' michael wallis', ' tony shalhoub', ' lloyd sherr', ' bonnie hunt']",['united states'],"november 12, 2019",2013,"['animation', ' comedy', ' family']",lighting mcqueen gets the hiccups.,disney_plus
cars toon,['rob gibbs'],"['larry the cable guy ', ' keith ferguson']",['united states'],"november 12, 2019",2010,"['animation', ' comedy', ' family']",mater searches for clues on a major crime scene.,disney_plus
cars toon,['john lasseter'],"['larry the cable guy ', ' keith ferguson']",['united states'],"november 12, 2019",2008,"['animation', ' comedy', ' family']",mater the greater is a famous daredevil.,disney_plus
cars toon,['john lasseter'],"['larry the cable guy ', ' keith ferguson']",['united states'],"november 12, 2019",2010,"['animation', ' comedy', ' family']",mater is a monster truck wrestler.,disney_plus
cars toon,"['rob gibbs', ' scott morse']","['owen wilson', ' larry the cable guy ', ' steve purcell', ' jess harnell', ' john cygan', ' \xa0danny \xa0mann']",['united states'],"november 12, 2019",2014,"['animation', ' comedy', ' family']",baja racers descend on radiator springs.,disney_plus
casebusters,['wes craven'],"['pat hingle', ' noah hathaway', ' virginya keehne', ' gary riley', ' ebbe smith', ' sharon barr']",['united states'],"november 12, 2019",1986,"['drama', ' family', ' mystery']",sibling sleuths investigate a crime that threatens their family business.,disney_plus
cheetah,['jeff blyth'],"['keith coogan', ' lucy deakins', ' timothy landfield', ' breon gorman', ' collin mothupi', ' ka vundla']",['united states'],"november 12, 2019",1989,"['action-adventure', ' animals & nature', ' family']",american teens traverse the african desert to rescue their adopted cheetah.,disney_plus
chef donald,['jack king'],[],['united states'],"november 12, 2019",1941,"['animation', ' comedy', ' family']",donald is inspired by a radio program to make waffles. see details for advisory.,disney_plus
chicken little,['mark dindal'],"['zach braff', ' garry marshall', ' don knotts', ' patrick stewart', ' amy sedaris', ' steve zahn']",['united states'],"november 12, 2019",2005,"['animation', ' comedy', ' disaster']","when disaster strikes, chicken little hatches a plan to save the day.",disney_plus
chip 'n dale's rescue rangers,[],"['corey burton', ' peter cullen', ' jim cummings', ' tress macneille']","['united states', ' taiwan', ' south korea', ' china', ' japan', ' united kingdom']","november 12, 2019",1989,"['action-adventure', ' animation', ' comedy']",chip and dale head a small group of animal characters who monitor the human and animal communities.,disney_plus
chip an' dale,['jack hannah'],[],['united states'],"november 12, 2019",1947,"['animation', ' comedy', ' family']",chip and dale have to save their home from donald duck. see details for advisory.,disney_plus
cinderella,"['wilfred jackson', ' hamilton luske', ' clyde geronimi']","['ilene woods', ' eleanor audley', ' verna felton', ' rhoda williams', ' james macdonald', ' luis van rooten']",['united states'],"november 12, 2019",1950,"['animation', ' family', ' fantasy']",cinderella's enchanted evening must end when a spell is broken at midnight.,disney_plus
cinderella ii,['john kafka'],"['jennifer hale', ' rob paulsen', ' corey burton', ' andre stojka', ' russi taylor', ' susanne blakeslee']",['united states'],"november 12, 2019",2002,"['animation', ' fantasy', ' kids']","three royal tales, featuring cinderella and her life in the palace.",disney_plus
cinderella iii,['frank nissen'],"['jennifer hale', ' c.d. barnes', ' susanne blakeslee', ' tress macneille', ' russi taylor', ' andre stojka']",['united states'],"november 12, 2019",2007,"['animation', ' fantasy', ' kids']",cinderella's stepmother steals a magic wand and turns back time.,disney_plus
clock cleaners,['ben sharpsteen'],[],['united states'],"november 12, 2019",1937,"['animation', ' comedy', ' family']","mickey, donald and goofy are trying to clean the clock of a tower. see details for advisory.",disney_plus
cloud 9,['paul hoen'],"['luke benward', ' dove cameron', ' mike manning', ' kiersey clemons', ' amy farrington', ' patrick fabian']",['united states'],"november 12, 2019",2014,['sports'],two unlikely friends must overcome self-doubt to achieve their dreams.,disney_plus
college road trip,['roger kumble'],"['martin lawrence', ' raven-symoné ', ' donny osmond', ' brenda song', ' will sasso', ' eshaya draper']",['united states'],"november 12, 2019",2008,"['comedy', ' coming of age', ' family']",an overprotective dad joins his daughter in search of the perfect college.,disney_plus
confessions of a teenage drama queen,['sara sugarman'],"['lindsay lohan', ' adam garcia', ' glenne headly', ' alison pill', ' eli marienthal', ' megan fox']","['germany', ' united states']","november 12, 2019",2004,"['comedy', ' coming of age']",a dramatic teen moves…and finds her new school already has a drama queen.,disney_plus
coop & cami ask the world (shorts),[],[],[],"november 12, 2019",2018,"['comedy', ' family', ' game show / competition']","cooper and cami wrather co-host ""would you wrather.""",disney_plus
corn chips,['jack hannah'],[],['united states'],"november 12, 2019",1951,"['animation', ' comedy', ' family']","donald tricks chip 'n dale into shoveling snow, but the tables turn. see details for advisory.",disney_plus
cow belles,['francine mcdougall'],"['amanda michalka', ' alyson michalka', ' sheila mccarthy', ' michael trevino', ' christian serratos', ' ron gabriel']",['united states'],"november 12, 2019",2006,"['comedy', ' coming of age']",two ultra-spoiled sisters are put to work in their father's dairy.,disney_plus
crash & bernstein,[],"['cole jensen', ' tim lagasse', ' landry bender', ' oana gregory', ' aaron landon']",['united states'],"november 12, 2019",2012,"['comedy', ' fantasy', ' kids']","the only boy in a family, wyatt creates a puppet brother.",disney_plus
dadnapped,['paul hoen'],"['emily osment', ' david henrie', ' jason earles', ' jonathan keltz', ' moises arias', ' denzel whitaker']",['united states'],"november 12, 2019",2009,"['comedy', ' mystery']",melissa morris is due for adventure when her novelist father goes missing.,disney_plus
darby o'gill and the little people,['robert stevenson'],"['albert sharpe', ' janet munro', ' sean connery', "" jimmy o'dea"", ' kieron moore', ' estelle winwood']",['united states'],"november 12, 2019",1959,"['family', ' fantasy', ' romance']","seeking a pot of gold, darby o'gill must match wits with a leprechaun. see details for advisory.",disney_plus
darkwing duck,[],"['jim cummings', ' christine cavanaugh', ' terry mcgovern', ' frank welker']",['united states'],"november 12, 2019",1991,"['action-adventure', ' animation', ' kids']","darkwing duck tells the adventures of the superhero, aided by his sidekick launchpad mcquack.",disney_plus
davy crockett and the river pirates,['norman foster'],"['fess parker', ' buddy ebsen', ' jeff york', ' kenneth tobey', ' clem bevans', ' irvin ashkenazy']",['united states'],"november 12, 2019",1956,"['action-adventure', ' family', ' historical']",davy crockett encounters pirates en route to new orleans. see details for advisory.,disney_plus
